pop_rank,city,state,pop_estimate,census,pop_delta,pop_density__mi,pop_density__km2,land_area__mi,land_area__km2,latitude,longitude,location
1,New York, New York,8622698,8175133,0.0547,301.5,780.9,28317,10933,40.6635,-73.9387,New York New York
2,Los Angeles, California,3999759,3792621,0.0546,468.7,1213.9,8484,3276,34.0194,-118.4108,Los Angeles California
3,Chicago, Illinois,2716450,2695598,0.0077,227.3,588.7,11900,4600,41.8376,-87.6818,Chicago Illinois
4,Houston, Texas,2312717,2100263,0.1012,637.5,1651.1,3613,1395,29.7866,-95.3909,Houston Texas
5,Phoenix, Arizona,1626078,1445632,0.12480000000000001,517.6,1340.6,3120,1200,33.5722,-112.0901,Phoenix Arizona
6,Philadelphia, Pennsylvania,1580863,1526006,0.0359,134.2,347.6,11683,4511,40.0094,-75.1333,Philadelphia Pennsylvania
7,San Antonio, Texas,1511946,1327407,0.139,461.0,1194.0,3238,1250,29.4724,-98.5251,San Antonio Texas
8,San Diego, California,1419516,1307402,0.0858,325.2,842.3,4325,1670,32.8153,-117.1350,San Diego California
9,Dallas, Texas,1341075,1197816,0.11960000000000001,340.9,882.9,3866,1493,32.7933,-96.7665,Dallas Texas
10,San Jose, California,1035317,945942,0.09449999999999999,177.5,459.7,5777,2231,37.2967,-121.8189,San Jose California
11,Austin, Texas,950715,790390,0.2028,312.7,809.9,3031,1170,30.3039,-97.7544,Austin Texas
12,Jacksonville, Florida,892062,821784,0.0855,747.4,1935.8,1178,455,30.3369,-81.6616,Jacksonville Florida
13,San Francisco, California,884363,805235,0.0983,46.9,121.5,18569,7170,37.7272,-123.0322,San Francisco California
14,Columbus, Ohio,879170,787033,0.11710000000000001,218.5,565.9,3936,1520,39.9852,-82.9848,Columbus Ohio
15,Fort Worth, Texas,874168,741206,0.1794,342.9,888.1,2491,962,32.7815,-97.3467,Fort Worth Texas
16,Indianapolis, Indiana,863002,820445,0.0519,361.5,936.3,2366,914,39.7767,-86.1459,Indianapolis Indiana
17,Charlotte, North Carolina,859035,731424,0.1745,305.4,791.0,2757,1064,35.2078,-80.8310,Charlotte North Carolina
18,Seattle, Washington,724745,608660,0.1907,83.8,217.0,8405,3245,47.6205,-122.3509,Seattle Washington
19,Denver, Colorado,704621,600158,0.1741,153.3,397.0,4521,1746,39.7619,-104.8811,Denver Colorado
20,Washington, District of Columbia,693972,601723,0.1533,61.1,158.2,11148,4304,38.9041,-77.0172,Washington District of Columbia
21,Boston, Massachusetts,685094,617594,0.1093,48.3,125.1,13938,5381,42.3320,-71.0202,Boston Massachusetts
22,El Paso, Texas,683577,649121,0.053099999999999994,256.8,665.1,2660,1030,31.8484,-106.4270,El Paso Texas
23,Detroit, Michigan,673104,713777,,138.8,359.5,4847,1871,42.3830,-83.1022,Detroit Michigan
24,Nashville, Tennessee,667560,601222,0.1103,475.9,1232.6,1388,536,36.1718,-86.7850,Nashville Tennessee
25,Memphis, Tennessee,652236,646889,0.0083,317.4,822.1,2056,794,35.1028,-89.9774,Memphis Tennessee
26,Portland, Oregon,647805,583776,0.1097,133.5,345.8,4793,1851,45.5370,-122.6500,Portland Oregon
27,Oklahoma City, Oklahoma,643648,579999,0.1097,606.3,1570.3,1053,407,35.4671,-97.5137,Oklahoma City Oklahoma
28,Las Vegas, Nevada,641676,583756,0.0992,134.4,348.1,4709,1818,36.2292,-115.2601,Las Vegas Nevada
29,Louisville, Kentucky,621349,597337,0.04019999999999999,263.5,682.5,2339,903,38.1654,-85.6474,Louisville Kentucky
30,Baltimore, Maryland,611648,620961,,80.9,209.5,7598,2934,39.3000,-76.6105,Baltimore Maryland
31,Milwaukee, Wisconsin,595351,594833,0.0009,96.2,249.2,6186,2388,43.0633,-87.9667,Milwaukee Wisconsin
32,Albuquerque, New Mexico,558545,545852,0.0233,188.2,487.4,2972,1147,35.1056,-106.6474,Albuquerque New Mexico
33,Tucson, Arizona,535677,520116,0.029900000000000003,230.8,597.8,2299,888,32.1531,-110.8706,Tucson Arizona
34,Fresno, California,527438,494665,0.0663,114.4,296.3,4563,1762,36.7836,-119.7934,Fresno California
35,Sacramento, California,501901,466488,0.0759,97.9,253.6,5059,1953,38.5666,-121.4686,Sacramento California
36,Mesa, Arizona,496401,439041,0.1306,137.9,357.2,3514,1357,33.4019,-111.7174,Mesa Arizona
37,Kansas City, Missouri,488943,459787,0.0634,315.0,815.8,1528,590,39.1251,-94.5510,Kansas City Missouri
38,Atlanta, Georgia,486290,420003,0.1578,133.5,345.8,3539,1366,33.7629,-84.4227,Atlanta Georgia
